,lat_x,lng_x,distance
0,1.23962095,103.83771301051394,3.3708276560228265 km
1,1.24002195,103.83092944861836,2.993709186838724 km
2,1.2411094,103.83616118799549,3.1399636270410554 km
3,1.24114335,103.83961897005884,3.352696330463496 km
4,1.2418323,103.8377594550829,3.1697749588496644 km
5,1.2426201,103.83682090290966,3.0388851637468157 km
6,1.2430491,103.83612064401775,2.956185869852598 km
7,1.2433584,103.8374519,3.012366721338094 km
8,1.24362925,103.83924720048756,3.1108444042258387 km
9,1.2438067,103.84229522949894,3.322068659456776 km
10,1.2455791500000002,103.84382427411552,3.3097719485607233 km
11,1.246413,103.8423714,3.1277637379397616 km
12,1.247299,103.84292771364326,3.110050072846045 km
13,1.2481118,103.8406065,2.856093159102872 km
14,1.2487474,103.8401255,2.7693373069343403 km
15,1.24953425,103.84428115577713,2.9928310270250362 km
16,1.24961675,103.84630020536969,2.9722475219719433 km
17,1.2512793,103.84574783883562,2.795555557617627 km
18,1.25176545,103.84788433434323,2.6764078780848024 km
19,1.26445565,103.81627387844745,0.5940261347294242 km
20,1.2645666,103.8154820873072,0.6792257626052771 km
21,1.26519775,103.8161152249346,0.6030139160301281 km
22,1.26522915,103.81751884226044,0.4467808234585281 km
23,1.265363,103.81673312284713,0.5338820284321053 km
24,1.26610145,103.8169931169732,0.5110405308551078 km
25,1.2661695,103.82274169414652,0.1600670900556942 km
26,1.2665537,103.81519184203198,0.7170592521148699 km
27,1.2667184,103.811492599035,0.48122402014340254 km
28,1.2671014,103.81689505,0.5494912439019187 km
29,1.27060155,103.8139725317186,0.46878662733497667 km
30,1.27072715,103.82447424134456,0.6750703258125463 km
31,1.271588,103.7994861,0.44582392988822245 km
32,1.27174295,103.81118661871172,0.19566929650000872 km
33,1.27190495,103.80777715243804,0.2575629883986331 km
34,1.2719933,103.82667427175708,0.9278946082802535 km
35,1.2721113,103.82568321958732,0.8752656673194136 km
36,1.2722038,103.81114237502904,0.22588963011799218 km
37,1.2723789,103.81066410657309,0.21044395082647213 km
38,1.27259555,103.8245715672677,0.8657341245748754 km
39,1.2728779,103.82030817535494,0.8391350965376632 km
40,1.27310985,103.8217334353581,0.8539888845109348 km
41,1.27340485,103.84558067317028,0.3493961926189739 km
42,1.27342865,103.80700180846044,0.41591240296682946 km
43,1.27357705,103.83404965,0.9946427816113976 km
44,1.27359385,103.81204234243567,0.4078753420366712 km
45,1.2736569,103.80656804316428,0.37860366195604955 km
46,1.2737159,103.8365578,0.8196938381987462 km
47,1.27385395,103.84622227889884,0.3044355066310598 km
48,1.2738632,103.839025390901,0.7144792276395505 km
49,1.27390185,103.8403063,0.6709559605832699 km
50,1.2739587,103.84363531310518,0.370021699633321 km
51,1.2740669,103.81045590746972,0.3795272678679519 km
52,1.2741439,103.80972190225872,0.380118111873597 km
53,1.27421825,103.84600550482058,0.26095578485084275 km
54,1.2743985,103.8109144122708,0.4279300361873609 km
55,1.27440375,103.80875338919684,0.4239440859006215 km
56,1.2744043,103.83488797533494,0.8642434905532311 km
57,1.274474,103.84009950580077,0.6377657684869643 km
58,1.2744919,103.8359531,0.7824975021270636 km
59,1.27461455,103.84472174156134,0.24250727565874652 km
60,1.27468965,103.84436612952828,0.2563384725152021 km
61,1.274708,103.84052804252131,0.6136319371033991 km
62,1.2748762,103.80868667363656,0.47633397071111755 km
63,1.27526835,103.84260173150705,0.37586842611381327 km
64,1.27531455,103.83920520576451,0.5528931967120545 km
65,1.27532955,103.80721145342702,0.5344286826487582 km
66,1.27538745,103.82064366028374,1.109927989877873 km
67,1.2753983,103.836779778421,0.6476357825978689 km
68,1.27541705,103.80791232246284,0.5600577514255837 km
69,1.2754817,103.84159075644158,0.47536323791288126 km
70,1.2755101,103.83757475,0.5913798590974512 km
71,1.27556565,103.84130749625815,0.5038299750087614 km
72,1.27568865,103.83822499656318,0.5429493450799642 km
73,1.27569185,103.81209361616982,0.6092961846374494 km
74,1.27572475,103.8472802086812,0.19623245574096115 km
75,1.2757389,103.80927229876475,0.559117558526733 km
76,1.2758331,103.83901794252134,0.5008646643959583 km
77,1.2758805999999998,103.80723350697188,0.5755937980078332 km
78,1.2759129,103.84270226410374,0.3439825833674986 km
79,1.27596005,103.83744960588294,0.5549954406487345 km
80,1.2759757,103.84120937106636,0.4889612666426591 km
81,1.27602095,103.8108188098307,0.5993098263688822 km
82,1.27604065,103.82084989204812,1.1801926789941553 km
83,1.2761249,103.8532534,0.15182281251994956 km
84,1.2761428,103.835368,0.690769083761343 km
85,1.2762681,103.8430291440643,0.3017947887057355 km
86,1.27641495,103.81143909219794,0.658242870233894 km
87,1.2765437,103.82425656477184,1.1099308180374643 km
88,1.27655135,103.81981762554926,1.2488614162409126 km
89,1.2766102,103.84115963216873,0.42002671271412456 km
90,1.2766663,103.80704638711627,0.6237597998699288 km
91,1.27666905,103.8107654886577,0.6687095372169506 km
92,1.27680465,103.7916432958099,0.07304535199098397 km
93,1.27683705,103.80850945299623,0.6920626645600534 km
